CreateDate,05/21/2025,,,
Mode,B-Mode,,,
Point,X-Position,X-Speed,Y-Position,Y-Speed
208,-11.5,0,100.62,108.297311813976
209,-11.5,0,98.62,114.819953187751
210,-11.5,0,96.62,129.166886505662
211,-11.5,0,94.62,138.089641597414
212,-11.5,0,92.62,139.064598257826
213,-11.5,0,90.62,140.070829234449
214,-11.5,0,88.62,183.725811826832
215,-11.5,0,86.62,184.841377617305
216,-11.5,0,84.62,185.979357983518
217,-11.5,0,82.62,187.137314589262
218,-11.5,0,80.62,188.312908365841
219,-11.5,0,78.62,189.503904230299
220,-11.5,0,76.62,193.017633544964
221,-11.5,0,74.62,195.282772517215
222,-11.5,0,72.62,200.096317451408
223,-11.5,0,70.62,205.15677469068
224,-11.5,0,68.62,210.266699231945
225,-11.5,0,66.62,215.424594277996
226,-11.5,0,64.62,220.629774264976
227,-11.5,0,62.62,221.827685338976
228,-11.5,0,60.62,223.023663965722
229,-11.5,0,58.62,224.216577264296
230,-11.5,0,56.62,225.405385810542
231,-11.5,0,54.62,226.589138937317
232,-10.5,100,54.62,0
233,-10.5,0,56.62,224.831728309891
234,-10.5,0,58.62,223.624698390545
235,-10.5,0,60.62,222.413034247171
236,-10.5,0,62.62,221.197777177494
