# 迭代步,旋转角度(度),总误差
853,-9.163323,0.094106
854,-36.811878,2.054602
855,16.385173,0.343317
856,-43.492056,0.426224
857,17.922427,3.100785
858,-57.632639,0.071962
859,9.187468,0.868677
860,-8.103706,0.172118
861,-9.163323,0.143314
862,18.913871,0.162379
863,-0.583055,1.481380
864,-40.207918,0.084422
865,-21.070542,0.078593
866,-40.339395,0.061156
867,-44.994426,0.399140
868,-50.480096,0.124754
869,-48.927326,0.114308
870,-30.850346,0.069337
871,31.969160,0.095736
872,7.426541,0.111266
873,-52.785819,0.102164
874,-40.895880,1.831473
875,22.093044,0.724901
876,44.362089,0.120415
877,-51.404701,0.072725
878,56.218730,2.185249
879,46.088260,0.140234
880,33.396415,0.997812
881,-51.888155,0.097215
882,38.317189,0.089713
883,-50.759134,0.481922
884,31.039202,0.173207
885,-55.077414,0.103876
886,-38.942421,0.143067
887,33.742131,1.055282
888,7.350261,1.161960
889,-22.671912,2.845355
890,26.918840,0.528270
891,-31.139755,0.368693
892,-33.035670,0.371839
893,1.009789,0.313343
894,49.407432,0.087906
895,-17.356857,0.109084
896,-36.211751,0.233234
897,-43.472201,0.473223
898,56.866484,0.062447
899,-30.939606,0.084174
900,-6.874379,1.704692
901,4.837655,3.811276
902,-57.610520,1.282333
903,15.328420,0.688502
904,-3.087420,0.080679
905,-2.441343,0.149560
906,38.087886,2.705925
907,-31.441922,0.220259
908,-1.913909,1.639271
909,12.397638,1.408546
910,36.012091,3.637385
911,28.633164,0.598714
912,-59.402354,0.499540
913,-51.291930,0.091204
914,17.624782,0.788038
915,-23.185219,0.457126
916,-25.823365,2.122098
917,10.253325,4.711128
918,-46.046098,0.162432
919,17.660650,0.159960
920,-37.485305,1.844760
921,35.860430,2.576708
922,-36.260556,0.054069
923,-22.688613,11.248156
924,36.414976,0.223415
925,-7.592012,7.534172
926,18.901400,0.050026
927,-10.719484,0.416408
928,-4.924156,1.111413
929,-16.408964,0.529721
930,-44.888944,32.583404
931,59.597637,0.464674
932,-4.683209,0.147123
933,-41.895134,0.039444
934,6.864331,0.187929
935,59.510306,1.214344
936,-48.348936,5.605865
937,44.342756,0.197144
938,22.331264,0.449267
939,33.016313,0.082780
940,1.268475,0.437369
941,-37.620756,0.169721
942,-51.213194,0.050836
943,22.435315,1.081079
944,26.104036,5.100698
945,-10.315983,3.723136
946,-54.670085,7.308689
947,22.850709,0.343315
948,-26.975253,0.097000
949,41.224531,0.104379
950,-30.107676,4.073022
951,-13.867339,0.092379
952,32.588816,0.049120
953,19.272804,0.144878
954,-15.238578,0.903197
955,-55.289809,0.237471
956,40.570488,1.001807
957,-27.589251,0.107325
958,-33.340554,0.043887
959,58.633382,0.059698
960,-40.207918,0.166833
961,20.584437,0.782993
962,36.790301,0.081569
963,-44.376932,0.193977
964,-56.718684,0.096957
965,-48.927326,0.289282
966,-13.671999,0.540308
967,-13.285252,1.786781
968,-51.397506,0.129075
969,19.238585,0.095988
970,35.330154,0.087229
971,-44.221802,0.215053
972,44.362089,0.112852
973,2.326606,0.955856
974,18.760789,14.543348
975,-33.521892,0.121133
976,-36.660106,0.165746
977,-16.043654,0.332582
978,-41.014920,0.083545
979,14.660715,0.092953
980,-58.184749,0.127096
981,-34.054611,0.073699
982,-54.709842,10.870022
983,45.880590,0.132737
984,15.643621,3.390957
985,-58.026779,5.689217
986,-50.144496,0.778150
987,8.056257,0.067670
988,-46.762232,0.085244
989,1.009789,0.365201
990,16.802633,0.291673
991,-55.768550,0.062124
992,-36.211751,5.521233
993,-11.054005,0.653788
994,56.866484,32.293077
995,-48.288554,0.442552
996,-43.548473,0.072930
997,-2.277526,6.781248
998,-24.862520,0.171513
999,-21.353323,0.108093
1000,-3.087420,0.284073
1001,-37.523605,0.096618
1002,-34.978718,4.870953
1003,-58.730835,0.094375
1004,9.178083,0.074356
1005,-8.827643,0.168675
1006,-53.778715,0.130895
1007,12.258096,14.835913
1008,20.247712,0.111111
1009,-45.943806,0.046519
1010,17.624782,0.140380
1011,-58.930909,0.112554
1012,38.773143,2.419080
1013,-43.831981,0.041471
1014,-52.199134,0.241527
1015,-36.292319,1.411247
1016,6.644409,0.123078
1017,-34.061473,0.391023
1018,-19.316151,1.805709
1019,-8.500089,0.402584
1020,44.041436,0.204764
1021,-45.636594,0.214878
1022,-30.177788,9.981986
1023,-34.899774,0.473188
1024,11.880554,0.197808
1025,-12.257439,0.127385
1026,-32.146984,0.079514
1027,-3.151211,2.959486
1028,47.382720,0.364832
1029,-22.104692,1.070088
1030,-5.073334,4.187824
1031,-56.739770,0.076424
1032,28.500747,0.231430
1033,32.093296,2.184791
1034,-31.012635,0.080627
1035,27.665779,0.094396
1036,23.449491,3.499428
1037,-56.162290,5.764302
1038,-58.182661,0.073196
1039,-42.866885,0.237280
1040,17.743126,0.067440
1041,29.605385,0.143420
1042,5.921522,0.121470
1043,-59.978959,0.043880
1044,-57.366549,0.047764
1045,37.877824,0.255087
1046,-50.306321,0.088369
1047,-37.130194,1.591130
1048,-31.409763,0.073000
1049,-34.562475,0.066705
1050,14.010703,0.250746
1051,10.440972,0.386132
1052,11.318658,0.083833
1053,15.513275,0.098546
1054,-33.340554,2.367095
1055,-40.764082,0.086221
1056,-40.207918,0.131319
1057,-22.908270,1.054142
1058,-17.209600,0.114539
1059,14.421232,0.291262
1060,-56.718684,0.087145
1061,37.543118,0.072929
1062,-40.440426,0.075054
1063,19.160198,0.262481
1064,13.204290,0.103084
1065,19.238585,0.147631
1066,-36.941164,0.039481
1067,51.589896,0.083834
1068,14.589565,0.109804
1069,-59.900184,0.448930
1070,56.218730,0.418572
1071,3.379008,0.101462
1072,-36.660106,0.408312
1073,20.344081,2.941597
1074,-38.375014,0.092888
1075,17.485988,0.076570
1076,-29.086598,3.762315
1077,-2.605904,0.098161
