X(mm),Y(mm),Velocity(mm/s)
-48.805,73.962,500.000000
-47.799,73.962,500.000000
-46.792,73.962,500.000000
-45.786,73.962,500.000000
-44.780,73.962,500.000000
-43.774,73.962,500.000000
-42.767,73.962,500.000000
-41.761,73.962,500.000000
-40.755,73.962,500.000000
-39.748,73.962,500.000000
-38.742,73.962,500.000000
-37.736,73.962,500.000000
-36.730,73.962,500.000000
-35.723,73.962,500.000000
-34.717,73.962,500.000000
-33.711,73.962,500.000000
-32.704,73.962,500.000000
-31.698,73.962,500.000000
-30.692,73.962,500.000000
-29.686,73.962,500.000000
-28.679,73.962,500.000000
-27.673,73.962,500.000000
-26.667,73.962,500.000000
-25.660,73.962,500.000000
-24.654,73.962,500.000000
-23.648,73.962,500.000000
-22.642,73.962,500.000000
-21.635,73.962,500.000000
-20.629,73.962,500.000000
-19.623,73.962,500.000000
-18.616,73.962,500.000000
-17.610,73.962,500.000000
-16.604,73.962,10.397851
-15.597,73.962,10.398450
-14.591,73.962,10.395590
