X(mm),Y(mm),Velocity(mm/s)
-3.5220,8.5535,0.100000
0.5031,8.5535,0.100000
4.5283,8.5535,0.100000
8.5535,8.5535,0.100000
12.5786,8.5535,0.100000
16.6038,8.5535,0.100000
20.6289,8.5535,0.100000
24.6541,8.5535,0.100000
28.6792,8.5535,0.100000
32.7044,8.5535,0.100000
36.7296,8.5535,0.100000
40.7547,8.5535,0.100000
44.7799,8.5535,0.100000
48.8050,8.5535,0.100000
52.8302,8.5535,0.100000
56.8553,8.5535,0.100000
60.8805,8.5535,66.700000
64.9057,8.5535,66.700000
68.9308,8.5535,36.483171
72.9560,8.5535,72.834682
76.9811,8.5535,100.000000
-80.0000,4.5283,100.000000
-75.9748,5.2283,100.000000
-75.9748,4.5283,100.000000
-71.9497,4.5283,82.613140
-67.9245,4.5283,0.100000
-63.8994,4.5283,0.100000
-59.8742,4.5283,0.100000
-55.8491,4.5283,0.100000
-51.8239,4.5283,0.100000
-47.7987,4.5283,0.100000
-43.7736,4.5283,0.100000
-39.7484,4.5283,0.100000
-35.7233,4.5283,0.100000
-31.6981,4.5283,0.100000
-27.6730,4.5283,0.100000
-23.6478,4.5283,0.100000
-19.6226,4.5283,0.100000
-15.5975,4.5283,0.100000
-11.5723,4.5283,0.100000
-7.5472,4.5283,0.100000
-3.5220,4.5283,0.100000
0.5031,4.5283,0.100000
4.5283,4.5283,0.100000
8.5535,4.5283,0.100000
12.5786,4.5283,0.100000
16.6038,4.5283,0.100000
20.6289,4.5283,0.100000
24.6541,4.5283,0.100000
28.6792,4.5283,0.100000
32.7044,4.5283,0.100000
36.7296,4.5283,0.100000
40.7547,4.5283,0.100000
44.7799,4.5283,0.100000
48.8050,4.5283,0.100000
52.8302,4.5283,0.100000
56.8553,4.5283,0.100000
60.8805,4.5283,88.900000
64.9057,4.5283,66.700000
68.9308,4.5283,22.888406
72.9560,4.5283,68.016550
76.9811,4.5283,100.000000
-80.0000,0.5031,100.000000
-75.9748,0.5031,99.831793
-71.9497,0.5031,73.026585
-67.9245,0.5031,33.400000
-63.8994,0.5031,0.100000
-59.8742,0.5031,0.100000
-55.8491,0.5031,0.100000
-51.8239,0.5031,0.100000
-47.7987,0.5031,0.100000
-43.7736,0.5031,0.100000
-39.7484,0.5031,0.100000
-35.7233,1.2031,100.000000
-35.7233,0.5031,0.100000
-31.6981,0.5031,0.100000
-27.6730,0.5031,0.100000
-23.6478,0.5031,0.100000
-19.6226,0.5031,0.100000
-15.5975,0.5031,0.100000
-11.5723,0.5031,0.100000
-7.5472,0.5031,0.100000
-3.5220,0.5031,0.100000
0.5031,0.5031,0.100000
4.5283,0.5031,0.100000
8.5535,0.5031,0.100000
12.5786,0.5031,0.100000
16.6038,0.5031,0.100000
20.6289,0.5031,0.100000
24.6541,0.5031,0.100000
28.6792,0.5031,0.100000
32.7044,0.5031,0.100000
36.7296,0.5031,0.100000
40.7547,0.5031,0.100000
44.7799,0.5031,0.100000
48.8050,0.5031,0.100000
52.8302,0.5031,0.100000
56.8553,0.5031,0.100000
60.8805,0.5031,55.600000
64.9057,0.5031,66.700000
68.9308,0.5031,12.063695
72.9560,0.5031,79.559624
76.9811,0.5031,100.000000
-80.0000,-3.5220,100.000000
-75.9748,-3.5220,100.000000
-71.9497,-3.5220,91.093332
-67.9245,-3.5220,11.200000
-63.8994,-3.5220,0.100000
-59.8742,-3.5220,0.100000
-55.8491,-3.5220,0.100000
-51.8239,-3.5220,0.100000
-47.7987,-3.5220,0.100000
-43.7736,-3.5220,0.100000
-39.7484,-3.5220,0.100000
-35.7233,-3.5220,0.100000
-31.6981,-3.5220,0.100000
-27.6730,-3.5220,0.100000
-23.6478,-3.5220,0.100000
-19.6226,-3.5220,0.100000
-15.5975,-3.5220,0.100000
-11.5723,-3.5220,0.100000
-7.5472,-3.5220,0.100000
-3.5220,-3.5220,0.100000
0.5031,-3.5220,0.100000
4.5283,-2.8220,100.000000
